Id,Expected,Noobs,Resolved,ResolutionSubst,PoorConvention
в эту минуту,2020-11-27T02:30,2020-11-27T02:30,2020-11-27T02:30,,
сейчас,2020-11-27T02:30,2020-11-27T02:30,2020-11-27T02:30,,
прямо сейчас,2020-11-27T02:30,2020-11-27T02:30,2020-11-27T02:30,,
в настоящий момент,2020-11-27T02:30,2020-11-27T02:30,2020-11-27T02:30,,
сегодня,2020-11-27,2020-11-27,2020-11-27,,
сегодняшний день,2020-11-27,2020-11-27,2020-11-27,,
сего числа,2020-11-27,2020-11-27,2020-11-27,,
сегодняшним числом,2020-11-27,2020-11-27,2020-11-27,,
в этот день,2020-11-27,2020-11-27,2020-11-27,,
на протяжении сегодняшнего дня,2020-11-27 - 2020-11-27,2020-11-27T0:00 - 2020-11-27T23:59,2020-11-27 - 2020-11-27,Неоднозначная конвенции записи,Y
на протяжении дня,2020-11-27 - 2020-11-27,2020-11-27T0:00 - 2020-11-27T23:59,2020-11-27 - 2020-11-27,Неоднозначная конвенции записи,Y
вчера,2020-11-26,2020-11-26,2020-11-26,,
накануне,2020-11-26,2020-11-26,2020-11-26,,
день тому назад,2020-11-26,2020-11-26,2020-11-26,,
один день назад,2020-11-26,2020-11-26,2020-11-26,,
позавчера,2020-11-25,2020-11-25,2020-11-25,,
третьего дня,2020-11-25,2020-11-25,2020-11-25,,
два дня тому назад,2020-11-25,2020-11-24,2020-11-25,"Правильно будет вычесть 2 календарных дня, https://slovari.ru/search.aspx?s=0&p=3068 как и для оборота: 'Третьего дня'",
два дня назад,2020-11-25,2020-11-24,2020-11-25,"Правильно будет вычесть 2 календарных дня, https://slovari.ru/search.aspx?s=0&p=3068 как и для оборота: 'Третьего дня'",
двумя днями раньше,2020-11-25,2020-11-24,2020-11-25,"Правильно будет вычесть 2 календарных дня, https://slovari.ru/search.aspx?s=0&p=3068 как и для оборота: 'Третьего дня'",
двумя днями ранее,2020-11-25,2020-11-24,2020-11-25,"Правильно будет вычесть 2 календарных дня, https://slovari.ru/search.aspx?s=0&p=3068 как и для оборота: 'Третьего дня'",
завтра,2020-11-28,2020-11-28,2020-11-28,,
за завтрашний день,2020-11-28,2020-11-28,2020-11-28,,
назавтра,2020-11-28,2020-11-28,2020-11-28,,
на следующий день,2020-11-28,2020-11-28,2020-11-28,,
в следующие сутки,2020-11-28,2020-11-28T0:00 - 2020-11-28T23:59,2020-11-28,"Однозначная, но неправильно понятая конвенция записи",Y
за следующие сутки,2020-11-28,2020-11-28T0:00 - 2020-11-28T23:59,2020-11-28,"Однозначная, но неправильно понятая конвенция записи",Y
послезавтра,2020-11-29,2020-11-29,2020-11-29,,
через день,2020-11-29,2020-11-29,2020-11-29,,
день спустя,2020-11-29,2020-11-29,2020-11-29,,
через два дня,2020-11-30,2020-11-30,2020-11-30,,
послепослезавтра,2020-11-30,2020-11-30,2020-11-30,,
два дня спустя,2020-11-30,2020-11-30,2020-11-30,,
в следующий вторник,2013-12-01,2020-12-1,2020-12-01,Ошибка в годе датасета и ошибка с отсутствием начального нуля у проверяющей команды,
на следующий вторник,2013-12-01,2020-12-1,2013-12-01,Ошибка в годе датасета и ошибка с отсутствием начального нуля у проверяющей команды,
ко вторнику,2013-12-01,2020-12-1,2013-12-01,Ошибка в годе датасета и ошибка с отсутствием начального нуля у проверяющей команды,
следующий вторник,2013-12-01,2020-12-1,2013-12-01,Ошибка в годе датасета и ошибка с отсутствием начального нуля у проверяющей команды,
"Во вторник, 1 декабря",2020-12-01,2020-12-1,2020-12-01,,
Во вторник 1 декабря,2020-12-01,2020-12-1,2020-12-01,,
"Вторник, 1 декабря",2020-12-01,2020-12-1,2020-12-01,,
"1 декабря, вторник",2020-12-01,2020-12-1,2020-12-01,,
"1 декабря, вт",2020-12-01,2020-12-1,2020-12-01,,
"1 декабря, вт.",2020-12-01,2020-12-1,2020-12-01,,
"01 декабря, вторник",2020-12-01,2020-12-1,2020-12-01,,
"1-го декабря, во вторник",2020-12-01,2020-12-1,2020-12-01,,
1 декабря,2020-12-01,2020-12-1,2020-12-01,,
"1 дек., вт.",2020-12-01,2020-12-1,2020-12-01,,
"1-дек, вт",2020-12-01,2020-12-1,2020-12-01,,
На 1 декабря (вт),2020-12-01,2020-12-1,2020-12-01,,
На 1 декабря (вт.),2020-12-01,2020-12-1,2020-12-01,,
"1 декабря 2020 года, во вторник",2020-12-01,2020-12-1,2020-12-01,,
"1 декабря 2020 г., во вторник",2020-12-01,2020-12-1,2020-12-01,,
"1 дек. 2020, вт",2020-12-01,2020-12-1,2020-12-01,,
"1 дек. 2020 г., вт.",2020-12-01,2020-12-1,2020-12-01,,
"В эту среду, 25 ноября",2020-11-25,2020-11-25,2020-11-25,,
"В среду, 25 ноября",2020-11-25,2020-11-25,2020-11-25,,
в среду 25 ноября,2020-11-25,2020-11-25,2020-11-25,,
"ср., 25 ноября",2020-11-25,2020-11-25,2020-11-25,,
"ср., 25-го ноября",2020-11-25,2020-11-25,2020-11-25,,
"ср, 25е ноября",2020-11-25,2020-11-25,2020-11-25,,
"Не далее как в среду, 25 ноября",2020-11-25,2020-11-25,2020-11-25,,
"25 ноября, в эту среду",2020-11-25,2020-11-25,2020-11-25,,
"25 ноября, ср.",2020-11-25,2020-11-25,2020-11-25,,
"25 ноября, в среду",2020-11-25,2020-11-25,2020-11-25,,
"25-го ноября, в среду",2020-11-25,2020-11-25,2020-11-25,,
"25го ноября, в среду",2020-11-25,2020-11-25,2020-11-25,,
25го ноября в среду,2020-11-25,2020-11-25,2020-11-25,,
25 ноября (среда),2020-11-25,2020-11-25,2020-11-25,,
25 ноября (ср),2020-11-25,2020-11-25,2020-11-25,,
25-го ноября (среда),2020-11-25,2020-11-25,2020-11-25,,
25-го ноября (ср),2020-11-25,2020-11-25,2020-11-25,,
25го ноября (ср),2020-11-25,2020-11-25,2020-11-25,,
25е ноября (среда),2020-11-25,2020-11-25,2020-11-25,,
25е ноября (ср),2020-11-25,2020-11-25,2020-11-25,,
25-е ноября (ср.),2020-11-25,2020-11-25,2020-11-25,,
"25.11, ср",2020-11-25,2020-11-25,2020-11-25,,
"25.11, среда",2020-11-25,2020-11-25,2020-11-25,,
среда 25/11,2020-11-25,2020-11-25,2020-11-25,,
21/11 (ср),2020-11-25,2020-11-21,2020-11-25,,
в воскресенье,2020-02-29,2020-11-29,2020-02-29,,
воскресенье,2020-02-29,2020-11-29,2020-02-29,,
ближайшее воскресенье,2020-02-29,2020-11-29,2020-02-29,,
в последний день недели,2020-02-29,2020-11-29,2020-02-29,,
вс.,2020-02-29,2020-11-29,2020-02-29,,
в вс.,2020-02-29,2020-11-29,2020-02-29,,
в ту пятницу,2020-11-20,2020-11-20,2020-11-20,,
на той неделе в пятницу,2020-11-20,2020-11-20,2020-11-20,,
в минувшую пятницу,2020-11-20,2020-11-20,2020-11-20,,
в прошлую пятницу,2020-11-20,2020-11-20,2020-11-20,,
ровно неделю назад,2020-11-20,2020-11-20,2020-11-20,,
семь дней назад,2020-11-20,2020-11-20,2020-11-20,,
в эту субботу,2020-11-28,2020-11-24,2020-11-28,,
в субботу,2020-11-28,2020-11-24,2020-11-28,,
на субботу,2020-11-28,2020-11-24,2020-11-28,,
16 августа,2020-08-16,2020-08-16,2020-08-16,,
16-го августа,2020-08-16,2020-08-16,2020-08-16,,
16-е августа,2020-08-16,2020-08-16,2020-08-16,,
16го августа,2020-08-16,2020-08-16,2020-08-16,,
16е августа,2020-08-16,2020-08-16,2020-08-16,,
на 16 августа,2020-08-16,2020-08-16,2020-08-16,,
на 16-е агуста,2020-08-16,2020-08-16,2020-08-16,,
на 16е августа,2020-08-16,2020-08-16,2020-08-16,,
16 авг,2020-08-16,2020-08-16,2020-08-16,,
16 авг.,2020-08-16,2020-08-16,2020-08-16,,
шестнадцатое августа,2020-08-16,2020-08-16,2020-08-16,,
шестнадцатого августа,2020-08-16,2020-08-16,2020-08-16,,
на шестнадцатое августа,2020-08-16,2020-08-16,2020-08-16,,
шестнадцатому августа,2020-08-16,2020-08-16,2020-08-16,,
к шестнадцатому числу августа,2020-08-16,2020-08-16,2020-08-16,,
11 октября,2020-10-11,2020-10-11,2020-10-11,,
11-го октября,2020-10-11,2020-10-11,2020-10-11,,
11е октября,2020-10-11,2020-10-11,2020-10-11,,
11 окт,2020-10-11,2020-10-11,2020-10-11,,
11 окт.,2020-10-11,2020-10-11,2020-10-11,,
на 11 октября,2020-10-11,2020-10-11,2020-10-11,,
на 11-е октября,2020-10-11,2020-10-11,2020-10-11,,
на 11е октября,2020-10-11,2020-10-11,2020-10-11,,
одиннадцатое октября,2020-10-11,2020-10-11,2020-10-11,,
одиннадцатого октября,2020-10-11,2020-10-11,2020-10-11,,
одиннадцатому октября,2020-10-11,2020-10-11,2020-10-11,,
к одиннадцатому числу октября,2020-10-11,2020-10-11,2020-10-11,,
6 апреля,2020-04-06,2020-04-06,2020-04-06,,
6-е апреля,2020-04-06,2020-04-06,2020-04-06,,
6-го апреля,2020-04-06,2020-04-06,2020-04-06,,
к 6 апреля,2020-04-06,2020-04-06,2020-04-06,,
к 6-му апреля,2020-04-06,2020-04-06,2020-04-06,,
к 6му апреля,2020-04-06,2020-04-06,2020-04-06,,
шестое апреля,2020-04-06,2020-04-06,2020-04-06,,
шестого апреля,2020-04-06,2020-04-06,2020-04-06,,
6 апр.,2020-04-06,2020-04-06,2020-04-06,,
от 27 октября 1944 г.,1944-10-27,1944-10-27,1944-10-27,,
10 мая 2021 года,2021-05-10,2021-05-10,2021-05-10,,
10-го мая 2021 года,2021-05-10,2021-05-10,2021-05-10,,
10-го мая 2021-го,2021-05-10,2021-05-10,2021-05-10,,
на 10-е мая 2021 года,2021-05-10,2021-05-10,2021-05-10,,
на следующее 10 мая,2021-05-10,2021-05-10,2021-05-10,,
10 мая 2021-го,2021-05-10,2021-05-10,2021-05-10,,
10 мая 2021,2021-05-10,2021-05-10,2021-05-10,,
10 мая следующего года,2021-05-10,2021-05-10,2021-05-10,,
следующего 10 мая,2021-05-10,2021-05-10,2021-05-10,,
десятого мая две тысячи двадцать первого года,2021-05-10,2021-05-10,2021-05-10,,
десятого мая 2021 года,2021-05-10,2021-05-10,2021-05-10,,
десятого мая 2021 г.,2021-05-10,2021-05-10,2021-05-10,,
к десятому мая две тысячи двадцать первого года,2021-05-10,2021-05-10,2021-05-10,,
в 2021 году 10 мая,2021-05-10,2021-05-10,2021-05-10,,
10.05.2021,2021-05-10,2021-05-10,2021-05-10,,
10.5.2021,2021-05-10,2021-05-10,2021-05-10,,
10.05.21,2021-05-10,2021-05-10,2021-05-10,,
10-05-2021,2021-05-10,2021-05-10,2021-05-10,,
10-05-21,2021-05-10,2021-05-10,2021-05-10,,
4 февраля,2020-02-04,2020-02-04,2020-02-04,,
4го февраля,2020-02-04,2020-02-04,2020-02-04,,
4-го февраля,2020-02-04,2020-02-04,2020-02-04,,
4-е февраля,2020-02-04,2020-02-04,2020-02-04,,
4е февраля,2020-02-04,2020-02-04,2020-02-04,,
4-фев,2020-02-04,2020-02-04,2020-02-04,,
4 фев.,2020-02-04,2020-02-04,2020-02-04,,
4.02,2020-02-04,2020-02-04,2020-02-04,,
4.02.2020,2020-02-04,2020-02-04,2020-02-04,,
04.02.2020,2020-02-04,2020-02-04,2020-02-04,,
четвертого февраля,2020-02-04,2020-02-04,2020-02-04,,
за четвертое февраля,2020-02-04,2020-02-04,2020-02-04,,
июль 2011 года,2011-07,2011-07,2011-07,,
июль 2011 г.,2011-07,2011-07,2011-07,,
июль 2011-го,2011-07,2011-07,2011-07,,
в июле 2011 года,2011-07,2011-07,2011-07,,
июль 2011го,2011-07,2011-07,2011-07,,
за июль 2011 г.,2011-07,2011-07,2011-07,,
05.2011,2011-07,2011-05,2011-05,Ошибка с месяцем в датасете,
июль-2011,2011-07,2011-07,2011-07,,
июль '11,2011-07,2011-07,2011-07,,
до августа 1944 года,1944-08,1944-08,1944-08,,
до августа тысяча девятьсот сорок четвертого года,1944-08,1944-08,1944-08,,
до августа тысяча четвертого года,1944-08,1944-08,1944-08,,
пока не наступил август 1944-го,1944-08,1944-08,1944-08,,
до августа-1944,1944-08,1944-08,1944-08,,
до августа '44,1944-08,1944-08,1944-08,,
до августа 44-го,1944-08,1944-08,1944-08,,
до августа 1944 г.,1944-08,1944-08,1944-08,,
до авг. 1944 г.,1944-08,1944-08,1944-08,,
20.9.1995,1995-09-20,1995-09-20,1995-09-20,,
20.09.1995,1995-09-20,1995-09-20,1995-09-20,,
20-09-1995,1995-09-20,1995-09-20,1995-09-20,,
25 января 2026 года,2026-01-25,2026-01-25,2026-01-25,,
25 янв. 2026 года,2026-01-25,2026-01-25,2026-01-25,,
25 января 2026 г.,2026-01-25,2026-01-25,2026-01-25,,
25 января 2026-го,2026-01-25,2026-01-25,2026-01-25,,
25-го января 2026 года,2026-01-25,2026-01-25,2026-01-25,,
25-янв 2026,2026-01-25,2026-01-25,2026-01-25,,
в ближайшие выходные,2020-11-28 - 2020-11-30,2020-11-28 - 2020-11-29,2020-11-28 - 2020-11-29,"Ошибка в датасете, нечеткая конвенция относительно включения или не включения крайних дат в интервал",Y
на этих выходных,2020-11-28 - 2020-11-30,2020-11-28 - 2020-11-29,2020-11-28 - 2020-11-29,"Ошибка в датасете, нечеткая конвенция относительно включения или не включения крайних дат в интервал",Y
на выходных,2020-11-28 - 2020-11-30,2020-11-28 - 2020-11-29,2020-11-28 - 2020-11-29,"Ошибка в датасете, нечеткая конвенция относительно включения или не включения крайних дат в интервал",Y
в этот уикенд,2020-11-28 - 2020-11-30,2020-11-28 - 2020-11-29,2020-11-28 - 2020-11-29,"Ошибка в датасете, нечеткая конвенция относительно включения или не включения крайних дат в интервал",Y
в субботу-воскресенье,2020-11-28 - 2020-11-30,2020-11-28 - 2020-11-29,2020-11-28 - 2020-11-29,"Ошибка в датасете, нечеткая конвенция относительно включения или не включения крайних дат в интервал",Y
через вторник,2020-12-08,2020-12-08,2020-12-08,,
через неделю во вторник,2020-12-08,2020-12-08,2020-12-08,,
во вторник через неделю,2020-12-08,2020-12-08,2020-12-08,,
"во вторник, через неделю",2020-12-08,2020-12-08,2020-12-08,,
следующая среда,2020-12-02,2020-12-02,2020-12-02,,
в следующую среду,2020-12-02,2020-12-02,2020-12-02,,
в среду на следующей неделе,2020-12-02,2020-12-02,2020-12-02,,
В следующем июне,2021-06,2021-06,2021-06,,
на неделе,2020-11-23,2020-11-23 - 2020-11-39,2020-11-23,"Ошибка и в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle) и в решении команды, указавшей 39 число",
на этой неделе,2020-11-23,2020-11-23 - 2020-11-39,2020-11-23,"Ошибка и в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle) и в решении команды, указавшей 39 число",
за эту неделю,2020-11-23,2020-11-23 - 2020-11-39,2020-11-23,"Ошибка и в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle) и в решении команды, указавшей 39 число",
всю эту неделю,2020-11-23,2020-11-23 - 2020-11-39,2020-11-23,"Ошибка и в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle) и в решении команды, указавшей 39 число",
неделю напролет,2020-11-23,2020-11-23 - 2020-11-39,2020-11-23,"Ошибка и в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle) и в решении команды, указавшей 39 число",
прошлая неделя,2020-11-16,2020-11-16 - 2020-11-22,2020-11-16 - 2020-11-22,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
прошлую неделю,2020-11-16,2020-11-16 - 2020-11-22,2020-11-16 - 2020-11-22,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
предыдущая неделя,2020-11-16,2020-11-16 - 2020-11-22,2020-11-16 - 2020-11-22,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
предыдущей недели,2020-11-16,2020-11-16 - 2020-11-22,2020-11-16 - 2020-11-22,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
на прошедшей неделе,2020-11-16,2020-11-16 - 2020-11-22,2020-11-16 - 2020-11-22,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
за прошедшую неделю,2020-11-16,2020-11-16 - 2020-11-22,2020-11-16 - 2020-11-22,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
на следующей неделе,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
всю следующую неделю,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
в течение следующей недели,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
предстоящая неделя,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
за предстоящую неделю,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
будущая неделя,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
на будущей неделе,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
прошлый месяц,2020-10,2020-10 - 2020-10,2020-10,"Ошибка проверяющей команды - это не интервал, а точечное указание с точностью до месяца",
прошлого месяца,2020-10,2020-10 - 2020-10,2020-10,"Ошибка проверяющей команды - это не интервал, а точечное указание с точностью до месяца",
в течение прошлого месяца,2020-10,2020-10 - 2020-10,2020-10 - 2020-10,Ошибка в датасете - долже быть интервал,
минувший месяц,2020-10,2020-10 - 2020-10,2020-10,Ошибка проверяющей команды - это не интервал,
за минувший месяц,2020-10,2020-10 - 2020-10,2020-10,Ошибка проверяющей команды в соответствии с большинством конвенций специализированных разметок - это не интервал,Y
в минувший месяц,2020-10,2020-10 - 2020-10,2020-10,Ошибка проверяющей команды - это не интервал,
предыдущий месяц,2020-10,2020-10 - 2020-10,2020-10,Ошибка проверяющей команды - это не интервал,
за предыдущий месяц,2020-10,2020-10 - 2020-10,2020-10 - 2020-10,"Скорее всего это ошибка в датасете, но требует дополнтельной проверки с соотнесением с экспертно выверенными специализированными разметками для славянских языков",
в предыдущий месяц,2020-10,2020-10 - 2020-10,2020-10,Ошибка проверяющей команды - это не интервал,
на протяжении предыдущего месяца,2020-10 - 2020-10,2020-10 - 2020-10,2020-10 - 2020-10,,
предшествующий месяц,2020-10,2020-10 - 2020-10,2020-10,Ошибка проверяющей команды - это не интервал,
первый квартал,2020-Q1,2020-Q1,2020-Q1,,
в первом квартале,2020-Q1,2020-Q1,2020-Q1,,
в первом квартале этого года,2020-Q1,2020-Q1,2020-Q1,,
за первый квартал текущего года,2020-Q1,2020-Q1,2020-Q1,,
за первый квартал,2020-Q1 - 2020-Q1,2020-Q1,2020-Q1 - 2020-Q1,"Скорее всего это ошибка проверяющей команды, но требует дополнтельной проверки с соотнесением с экспертно выверенными специализированными разметками для славянских языков",
1-й квартал 2020 г.,2020-Q1,2020-Q1,2020-Q1,,
1-й квартал 2020-го,2020-Q1,2020-Q1,2020-Q1,,
второй квартал 2018 года,2018-Q2,2018-Q2,2018-Q2,,
в течение второго квартала 2018 года,2018-Q2,2018-Q2,2018-Q2,,
второй квартал две тысячи восемнадцатого года,2018-Q2,2018-Q2,2018-Q2,,
на протяжении второго квартала две тысячи восемнадцатого года,2018-Q2 - 2018-Q2,2018-Q2,2018-Q2 - 2018-Q2,Ошибка проверяющей команды,
второй квартал 2018 г.,2018-Q2,2018-Q2,2018-Q2,,
II квартал 2018 года,2018-Q2,2018-Q2,2018-Q2,,
II квартал 2018 г.,2018-Q2,2018-Q2,2018-Q2,,
II кв. 2018 года,2018-Q2,2018-Q2,2018-Q2,,
II кв. 2018 г.,2018-Q2,2018-Q2,2018-Q2,,
2-й квартал 2018 года,2018-Q2,2018-Q2,2018-Q2,,
2й квартал 2018 года,2018-Q2,2018-Q2,2018-Q2,,
II квартал 2018-го,2018-Q2,2018-Q2,2018-Q2,,
II квартал 2018го,2018-Q2,2018-Q2,2018-Q2,,
