Id,Expected,Noobs,Resolved,ResolutionSubst,PoorConvention
прошлый год,2019,2019,2019,,
предыдущий год,2019,2019,2019,,
минувший год,2019,2019,2019,,
этот год,2020,2020,2020,,
этому году,2020,2020,2020,,
за этот год,2020,2020,2020,,
текущий год,2020,2020,2020,,
весь текущий год,2020,2020,2020,,
нынешний год,2020,2020,2020,,
сего года,2020,2020,2020,,
уходящий год,2020,2020,2020,,
уходящего года,2020,2020,2020,,
истекающий год,2020,2020,2020,,
следующий год,2021,2021,2021,,
в следующем году,2021,2021,2021,,
грядущий год,2021,2021,2021,,
предстоящий год,2021,2021,2021,,
за предстоящий год,2021,2021,2021,,
в прошлую субботу,2020-11-21,2020-11-21,2020-11-21,,
в ту субботу,2020-11-21,2020-11-21,2020-11-21,,
в субботу на той неделе,2020-11-21,2020-11-21,2020-11-21,,
во вторую среду следующего января,2021-01-13,2021-01-13,2021-01-13,,
во вторую среду января-2021,2021-01-13,2021-01-13,2021-01-13,,
вторая среда января-2021,2021-01-13,2021-01-13,2021-01-13,,
вторая среда января 2021 годв,2021-01-13,2021-01-13,2021-01-13,,
вторая среда следующего года,2021-01-13,2021-01-13,2021-01-13,,
вторая среда января две тысячи двадцать первого года,2021-01-13,2021-01-13,2021-01-13,,
последний четверг марта 2016 года,2016-03-31,2016-03-31,2016-03-31,,
последний четверг марта 2016 г.,2016-03-31,2016-03-31,2016-03-31,,
последний четверг марта-2016,2016-03-31,2016-03-31,2016-03-31,,
последний четверг марта 2016,2016-03-31,2016-03-31,2016-03-31,,
четыре часа утра,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
в четыре часа утра,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
4 часа утра,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
в четыре утра,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
четыре часа ночи,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
в четыре часа ночи,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
"утром, в четыре часа",2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
"ночью, в четыре часа",2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
"утром, в 4 часа",2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
"ночью, в 4 часа",2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
в 04:00,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка в датьасеье, клгсьоукцтя джлдэга лпоежедяьб имеггл гачадбгу. мтгуьу часа",
2:20 ночи,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
в 2:20,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
в 02:20,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
ночью в 02:20,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
"ночью, в 2:20",2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
"ночью, в двадцать минут третьего",2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
ночью в два двадцать,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
в два двадцать ночи,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
в двадцать минут третьего ночи,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
в двадцать минут третьего часа ночи,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
в пять часов дня,2020-11-27T17,2020-11-27T17:00,2020-11-27T17,,
в пять часов вечера,2020-11-27T17,2020-11-27T17:00,2020-11-27T17,,
5 часов дня,2020-11-27T17,2020-11-27T17:00,2020-11-27T17,,
5 часов вечера,2020-11-27T17,2020-11-27T17:00,2020-11-27T17,,
в пять пополудни,2020-11-27T17,2020-11-27T17:00,2020-11-27T17,,
в 17 часов,2020-11-27T17,2020-11-27T17:00,2020-11-27T17,,
"В пять тридцать вечера, 27 ноября",2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
двадцать седьмого ноября в пять тридцать вечера,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
27 ноября в 5.30 вечера,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
в 17:30 27 ноября,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
27 ноября в полшестого вечера,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
27 ноября в половину шестого,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
27 ноября в 17:30,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
"27.04, 17:30",2020-11-27T17:30,2020-04-27T17:30,2020-11-27T17:30,"Ошибка в датасете, склоее всешл по причине копипасты",
27 ноября в 5:30 вечера,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
до 2 часов дня,2020-11-27T14,2020-11-27T14:00,2020-11-27T14,"Пробел в упрощенной конвенции, которая не прописывает, как исключать из интервала конечное точечное значение, однозначный правильный ответ в рамках упрощенной конвенции невозможен",Y
до двух часов дня,2020-11-27T14,2020-11-27T14:00,2020-11-27T14,"Пробел в упрощенной конвенции, которая не прописывает, как исключать из интервала конечное точечное значение, однозначный правильный ответ в рамках упрощенной конвенции невозможен",Y
не позднее 2 часов дня,2020-11-27T14,2020-11-27T14:00,2020-11-27T14,"Ошибка проверяющей команды, в интервал должно быть включено все время 14 часа, профильные консультанты gramota.ru рекомендуют заменять эне позднее чем' на 'самое позднее'",
сегодня не позднее 2 часов дня,2020-11-27T14,2020-11-27T14:00,2020-11-27T14,"Ошибка проверяющей команды, в интервал должно быть включено все время 14 часа, профильные консультанты gramota.ru рекомендуют заменять эне позднее чем' на 'самое позднее'",
сегодня до 2х часов дня,2020-11-27T14,2020-11-27T14:00,2020-11-27T13,"Ошибка и проверяющей команды и датасета - проверяющая команда ошиблась и с часом и с некорректным уточнением до минут, в датасете ошибка, включаяющая весь 14 час в интервал",
сегодня до 2-х часов дня,2020-11-27T14,2020-11-27T14:00,2020-11-27T13,"Ошибка и проверяющей команды и датасета - проверяющая команда ошиблась и с часом и с некорректным уточнением до минут, в датасете ошибка, включаяющая весь 14 час в интервал",
до 14:00,2020-11-27T14,2020-11-27T14:00,2020-11-27T13,"Ошибка и проверяющей команды и датасета - проверяющая команда ошиблась и с часом и с некорректным уточнением до минут, в датасете ошибка, включаяющая весь 14 час в интервал",
сегодня до 14:00,2020-11-27T14,2020-11-27T14:00,2020-11-27T13,"Ошибка и проверяющей команды и датасета, даже при указании первой минуты в тексте, итоговый интервал не должен ее включать",
сегодня до 14.00,2020-11-27T14,2020-11-27T14:00,2020-11-27T13,"Ошибка и проверяющей команды и датасета, даже при указании первой минуты в тексте, итоговый интервал не должен ее включать",
до 14 часов,2020-11-27T14,2020-11-27T14:00,2020-11-27T14,,
сегодня до 14 часов,2020-11-27T14,2020-11-27T14:00,2020-11-27T14,,
в течение ночи на 29 октября 1942 года,1942-10-28T22 - 1942-10-29T05,1942-10-28T17:00 - 1942-10-30T7:29,1942-10-28T22 - 1942-10-29T05,,
в ночь на 29 октября 1942 года,1942-10-28T22 - 1942-10-29T05,1942-10-28T17:00 - 1942-10-30T7:29,1942-10-28T22 - 1942-10-29T05,,
неделю назад,2020-11-20,2020-11-20,2020-11-20,,
7 дней назад,2020-11-20,2020-11-20,2020-11-20,,
в этот день на прошлой неделе,2020-11-20,2020-11-20,2020-11-20,,
этим летом,2020-06-01 - 2020-08-31,2020-06 - 2020-08,2020-06-01 - 2020-08-31,,
минувшим летом,2020-06-01 - 2020-08-31,2020-06 - 2020-08,2020-06-01 - 2020-08-31,,
в том году,1943,2021,1943,,
Настал тяжелейший 1943 год. В том году началось освобождение Белоруссии от гитлеровцев,1943,1943,1943,,
той зимой,2019-12-01 - 2020-03-01,2019-12 - 2020-02,2019-12 - 2020-02,"В датасете точно ошибка, зима описываается как цельный интервал, но также имеет место пробел в конценции, в специализированнх разметках обычно используются доп маркеры для неопределенного зимнего времени до начала нового года и после",
прошлой зимой,2019-12-01 - 2020-03-01,2019-12 - 2020-02,2019-12 - 2020-02,"Ошибка в датасете, 3 по счету месяц никак не может быть частью зимы",
зимой прошлого года,2019-12-01 - 2020-03-01,2019-12 - 2020-02,2019-12 - 2020-02,"Ошибка в датасете, 3 по счету месяц никак не может быть частью зимы",
минувшей зимой,2019-12-01 - 2020-03-01,2019-12 - 2020-02,2019-12 - 2020-02,"Ошибка в датасете, 3 по счету месяц никак не может быть частью зимы",
в ту зиму,2019-12-01 - 2020-03-01,2019-12 - 2020-02,2019-12 - 2020-02,"Ошибка в датасете, 3 по счету месяц никак не может быть частью зимы",
В 1956 году зима в Калининграде выдалась суровой. Той зимой снег выпал рано,1956-12-01 - 1957-03-01,1956-12,1956-12 - 1957-02,"Ошибка в датасете, 3 по счету месяц никак не может быть частью зимы",
За зиму 1941/42 года,1941-12-01 - 2020-03-01,1941-12 - 1942-02,1941-12 - 2020-02,"Ошибка в датасете, 3 по счету месяц никак не может быть частью зимы",
Зимой 1941-1942 гг.,1941-12-01 - 2020-03-01,1941-12 - 1942-02,1941-12 - 2020-02,"Ошибка в датасете, 3 по счету месяц никак не может быть частью зимы",
на протяжении зимы 1941-42 года,1941-12-01 - 2020-03-01,1941-12 - 1942-02,1941-12-01 - 2020-02,"Ошибка в датасете, 3 по счету месяц никак не может быть частью зимы",
зима 1941-1942 года,1941-12-01 - 2020-03-01,1941-12 - 1942-02,1941-12 - 2020-02,"Ошибка в датасете, 3 по счету месяц никак не может быть частью зимы",
зимой 1941-1942 годов,1941-12-01 - 2020-03-01,1941-12 - 1942-02,1941-12 - 2020-02,"Ошибка в датасете, 3 по счету месяц никак не может быть частью зимы",
В первую блокадную зиму,1941-11 - 1942-3,1941-12 - 1942-02,1941-12 - 1942-2,"Ошибка в датасете, 11 по счету месяц (ноябрь) не может быть частью зимы",
в последний День Победы,2020-05-09,2020-05-09,2020-05-09,,
на этот День Победы,2020-05-09,2020-05-09,2020-05-09,,
на прошедший день победы,2020-05-09,2020-05-09,2020-05-09,,
на майских праздниках в 1943 году,1943-05-01 - 1943-05-03,1943-05-01,1943-05-01 - 1943-05-02,"Разные ошибки и в датасете и у проверяюей команды, Стандартные праздничные дни после великой октябрьской революции до 9 мая 1945 года (включительно, праздничная дата утверждена 8 мая 1945. Даже если к праздникам в 43 году примыкал выходной день, он был часть праздничных каникул, но не самих праздничных дней. Тем не менее в повседневной речи эти монятия могут с большой вероятносттью перепутать. Характер ошибок - фактологически-исторический, тем не менее, кмк, корпус должен покрывать и этот аспект, но более тщательно и последовательно прорабатывать хронологию изменений подобного рода, а также граничные случаи, как приведенный вариант с примыкающим выходным днем и каникулами",
на майские праздники в 2020-м,1949-12-21,2020-05-01 - 2020-05-10,2020-05-01 - 2020-05-11,"Ошибка и в датасете, и фактологическая ошибка у проверяющей команды, каникулы были 2020-05-01 - 2020-05-11, граничные даты включены. На самом деле этьо один интервал и один точечный день, между ними президентским указом устанавливаются не праздники, а 'нерабочие дни'",
В 70-летний юбилей товарища Сталина,1949-12-21,1949-12-21,1949-12-21,,
на 70-летие Верховного Главнокомандующего СССР,1949-12-21,1949-12-21,1949-12-21,,
"в 49-м, на день рождения Сталина",1949-12-21,1949-12-21,1949-12-21,,
на семидесятую годовщину И. В. Сталина,1949-12-21,1949-12-21,1949-12-21,,
последние четыре секунды,2020-11-27T02:29:56 - 2020-11-27T02:30,2020-11-27T02:29:56 - 2020-11-27T02:30:00,2020-11-27T02:29:56 - 2020-11-27T02:29:59,"первая секунда 30-й минуты не может быть последней секундой 29-й. Учитывая, что в начале минуты на часах идет нулевая секунда (12 на 12-часовых циферблатах играет роль нуля, указанная секунда длится до отметки, исключая ее, аналогично с часами и минутами) тут мы указываем секунды с точностью до секунды и :59 секунд длятся до 00, но искючая момент обнуления",
за четырех секунды до настоящего момента,2020-11-27T02:29:56 - 2020-11-27T02:30,2020-11-27T02:29:56 - 2020-11-27T02:30:00,2020-11-27T02:29:56,"Опечатка в исходном тексте датасета, считаем по пальцам, также, такая формулировка моджет определять и интервал и время, предлог за неоднозначен. Даже если это интервал - вариант в датасете неверный",
в течение последнего часа,2020-11-27T01:30 - 2020-11-27T02:30,2020-11-27T01:30 - 2020-11-27T02:30,2020-11-27T01:31 - 2020-11-27T02:30,"Тут уже очевидно нашему упрощшенному варианту указания интервалов через границы, а не якорное время + протяженносмть не хватает средств. Для консистентностьи и выделения непроработанного момента пусть правильный вариант включает 60 минут, т.е. протяженность часа и заканчивается с концом текущей минуты. Так, это не совсем однозначная формулировка, она может ссылаться на уже прошедшее время текущего часа, но для таких случаев есть более однозначные конструкции и врядли человек будет использовать вместо них рпасплывчатую формулировку",
за прошедший час,2020-11-27T01:30 - 2020-11-27T02:30,2020-11-27T01:30 - 2020-11-27T02:30,2020-11-27T01:31 - 2020-11-27T02:30,"Проблема в упрощении уонвенции и исключении из него явных механик интервалов с привязкой, услвно корректный вариаент дан консистентно с другим случаем",
17-20 апреля,2020-04-17 - 2020-04-21,2020-04-17 - 2020-04-20,2020-04-17 - 2020-04-20,"Условно это ошибка в датасете, на практике это следствие переупрощенной конвенции",Y
17-20 апр,2020-04-17 - 2020-04-21,2020-04-17 - 2020-04-20,2020-04-17 - 2020-04-20,"Условно это ошибка в датасете, на практике это следствие переупрощенной конвенции",Y
17.04-20.04,2020-04-17 - 2020-04-21,2020-04-17 - 2020-04-20,2020-04-17 - 2020-04-20,"Условно это ошибка в датасете, на практике это следствие переупрощенной конвенции",Y
с 17 по 20 апреля,2020-04-17 - 2020-04-21,2020-04-17 - 2020-04-20,2020-04-17 - 2020-04-20,"Условно это ошибка в датасете, на практике это следствие переупрощенной конвенции, 'по' можно подменить конструкцией 'и не позднее'",Y
начиная с 17 и заканчивая 20 апреля,2020-04-17 - 2020-04-21,2020-04-17 - 2020-04-20,2020-04-17 - 2020-04-20,"Ошибка в датасете - 21 день однозначно начинается со времени, включенного в интервал этого дня, он не может быть частью предыдущего интервала",
11:30-1:30,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T13:30,,
11.30-1.30,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T13:30,,
11:30-13:30,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T13:30,,
с 11:30 до 13:30,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T13:30,,
с одиннадцати тридцати утра до часу тридцати дня,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T13:30,,
"в дневное время, с одиннадцати тридцати до часа тридцати",2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T13:30,,
с половины двенадцатого до половины первого,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T12:30,2020-11-27T11:30 - 2020-11-27T12:30,"В датасете ошибка, присутствует лишний час в конце интервала. При другой точке начального отсчета это может стать неоднозначной конструкцией",
с половины двенадцатого до половины первого дня,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T12:30,2020-11-27T11:30 - 2020-11-27T12:30,"В датасете ошибка, присутствует лишний час в конце интервала",
с половины двенадцатого утра до половины первого,2020-11-27T11:30 - 2020-11-27T13:30,2020-11-27T11:30 - 2020-11-27T12:30,2020-11-27T11:30 - 2020-11-27T12:30,"В датасете ошибка, присутствует лишний час в конце интервала",
с 18 по 27 января 1942 года,1942-01-18 - 1942-01-28,1942-01-18 - 1942-01-27,1942-01-18 - 1942-01-27,"Ошибка в датасете, 'по' можно подменить на 'не позднее чем' (без запятой)",
в период 18–27 января 1942 года,1942-01-18 - 1942-01-28,1942-01-18 - 1942-01-27,1942-01-18 - 1942-01-27,"Ошибка в датасете, 'по' можно подменить на 'не позднее чем' (без запятой)",
за 18–27 января 1942 г.,1942-01-18 - 1942-01-28,1942-01-18 - 1942-01-27,1942-01-18 - 1942-01-27,"Ошибка в датасете, включен лишний день",
с 10 мая 1943 по 16 февраля 1944 года,1943-05-10 - 1944-02-17,1943-05-10 - 1944-02-16,1943-05-10 - 1944-02-16,"Ошибка в датасете, включен лишний день",
с 10 мая 1943 года по 16 февраля 1944 года,1943-05-10 - 1944-02-17,1943-05-10 - 1944-02-16,1943-05-10 - 1944-02-16,"Ошибка в датасете, включен лишний день",
10 мая 1943 — 16 февраля 1944,1943-05-10 - 1944-02-17,1943-05-10 - 1944-02-16,1943-05-10 - 1944-02-16,"Ошибка в датасете, включен лишний день",
10 мая 1943 г. — 16 февраля 1944 г.,1943-05-10 - 1944-02-17,1943-05-10 - 1944-02-16,1943-05-10 - 1944-02-16,"Ошибка в датасете, включен лишний день",
10.05.1943-16.02.1944,1943-05-10 - 1944-02-17,1943-05-10 - 1944-02-16,1943-05-10 - 1944-02-16,"Ошибка в датасете, включен лишний день",
с десятого мая 1943 года по 16 февраля 1944 года,1943-05-10 - 1944-02-17,1943-05-10 - 1944-02-16,1943-05-10 - 1944-02-16,"Ошибка в датасете, включен лишний день",
с десятого мая тысяча девятьсот сорок третьего года по шестнадцатое февраля тысяча девятьсот сорок четвертого года,1943-05-10 - 1944-02-17,1943-05-10 - 1944-02-16,1943-05-10 - 1944-02-16,"Ошибка в датасете, включен лишний день",
ровно через неделю после завершения Битвы на Курской дуге,1943-08-30,1943-08-30,1943-08-30,,
